name,likely_byline_gender
David Sasaki,Male
Jorge Gobbi,Male
Janine Mendes-Franco,Female
Juliana Rincón Parra,Female
Melissa De León,Female
Paula Góes,Female
Lester Bolicenni,Male
Juan Arellano,Male
Eduardo Avila,Male
Firuzeh Shokooh Valle,Female
Jose Murilo,Male
Thiana Biondo,Female
Rocio Diaz,Female
Georgia Popplewell,Female
Diego Casaes,Male
Rosario Lizana,Female
Renata Avila,Female
Marta Cooper,Female
Issa Villarreal,Female
Themis Aline,Female
Nicholas Laughlin,Male
Catalina Restrepo,Female
Kamla Bhatt,Female
Tim Muth,Male
Mario Blanco,Male
Alice Backer,Female
Rodrigo Peñalba,Male
Belen Bogado,Female
Leonidas Mejia,Male
Laura Vidal,Female
Shabina Khatri,Female
Solana Larsen,Female
Iria Puyosa,Female
Marwa Rakha,Female
Gabriela García Calderón,Female
Aparna Ray,Female
Milton Ramirez,Male
Raphael Tsavkko Garcia,Male
Nike Jung,Female
Karel McIntosh,Female
Leon Kadoch,Male
Carlos Suasnavas,Male
Jillian C. York,Female
Obi,Female
Preetam Rai,Male
Julián Ortega Martínez,Unknown
Marc Herman,Male
Fabienne Flessel,Female
Jennifer Brea,Female
Andrea Arzaba,Female
Silvia Viñas,Female
Jenny Cascante Gonzalez,Female
Luis Diego Molina,Male
Juhie Bhatia,Female
John Kennedy,Male
Adriana Vargas,Female
Susannah Vila,Female
Tharum Bun,Male
Lully Posada,Female
Leon Felipe Sanchez,Male
Felipe Cordero,Male
Tomomi Sasaki,Female
Vilhelm Konnander,Male
Luis Carlos Diaz,Male
Richard Wanjohi,Male
Manuella Ribeiro,Female
Miguel Castillo,Male
Deborah Ann Dilley,Female
Debora Baldelli,Female
Tarek Amr,Male
Veronica Khokhlova,Female
Manuela Tenreiro,Female
Fred Petrossian,Male
Cati Restrepo,Female
Silvia Vinas,Female
Roger Franchini,Male
Lova Rakotomalala,Male
Lulu Kitololo,Female
Juliana Rincón,Female
Claudio Ruiz,Male
Luis Henrique,Male
Scilla Alecci,Female
Rachel Rawlins,Female
Sara Moreira,Female
Janet Gunter,Female
Patrick Hall,Male
Rodrigo Penalba,Male
Clotilde Castillo,Female
Elisa Thiago,Female
Ndesanjo Macha,Male
Rebekah Heacock,Female
The Economist,Unknown
Danilo Gonçalves,Male
Paulina Aguilera,Female
Bernardo Parrella,Male
Paulina Aguilera Muñoz,Female
Lully,Female
Steven BREWER,Male
Patricia Acosta,Female
Ethan Zuckerman,Male
Sameer Padania,Male
